id_route,type_route,distance,id_noeud1,id_noeud2
19047,b'D\xe9partementale',1.9,15896,15943
19048,b'D\xe9partementale',22.3,15896,16409
19054,b'D\xe9partementale',0.3,15902,15921
19055,Sans objet,3.7,15902,15961
19057,b'D\xe9partementale',4.5,15904,16025
19061,b'D\xe9partementale',4.0,15907,16079
19062,Autoroute,4.0,15907,16080
19063,b'D\xe9partementale',1.7,15908,15943
19064,Nationale,0.7,15909,15934
19065,b'D\xe9partementale',3.3,15909,16029
19067,b'D\xe9partementale',0.9,15911,15922
19068,Sans objet,1.6,15911,15966
19071,b'D\xe9partementale',0.8,15914,15940
19072,b'D\xe9partementale',1.1,15914,15949
19078,b'D\xe9partementale',1.2,15921,15959
19079,b'D\xe9partementale',2.0,15922,15966
19080,b'D\xe9partementale',8.5,15922,16003
19085,b'D\xe9partementale',19.799999999999997,15927,16549
19090,b'D\xe9partementale',10.1,15932,16173
19091,b'D\xe9partementale',0.7,15932,15951
19092,b'D\xe9partementale',7.5,15933,16037
19093,Nationale,1.3,15934,15956
19095,b'D\xe9partementale',5.3,15937,15996
19096,b'D\xe9partementale',8.4,15937,15996
19098,b'D\xe9partementale',0.3,15939,15948
19099,Autoroute,2.1,15940,15990
19100,b'D\xe9partementale',3.0,15940,15972
19103,b'D\xe9partementale',15.7,15943,16411
19104,b'D\xe9partementale',15.1,15943,16559
19108,b'D\xe9partementale',0.2,15947,15952
19109,b'D\xe9partementale',11.9,15948,16067
19110,b'D\xe9partementale',1.1,15948,15989
19111,b'D\xe9partementale',1.5,15949,15979
19112,b'D\xe9partementale',1.2,15949,15984
19114,b'D\xe9partementale',33.2,15951,16710
19115,b'D\xe9partementale',7.5,15952,16087
19116,b'D\xe9partementale',9.0,15952,16131
19117,b'D\xe9partementale',16.7,16287,16029
19121,Nationale,0.6,15956,15963
19122,Nationale,2.4000000000000004,15956,16049
19125,b'D\xe9partementale',8.6,15959,16238
19127,b'D\xe9partementale',2.9,15961,16022
19129,Nationale,2.0,15963,15976
19130,b'D\xe9partementale',1.7,15963,16028
19134,b'D\xe9partementale',5.4,15966,16199
19137,Nationale,2.2,15970,16066
19139,b'D\xe9partementale',0.8999999999999999,15972,16002
19143,b'D\xe9partementale',2.9000000000000004,15976,16114
19145,b'D\xe9partementale',0.1,15978,15985
19146,b'D\xe9partementale',13.9,15978,16217
19147,b'D\xe9partementale',2.3,15979,16004
19148,b'D\xe9partementale',1.0,15979,16013
19153,b'D\xe9partementale',0.7,15985,16024
19157,b'D\xe9partementale',20.700000000000003,15989,16803
19158,Autoroute,19.8,15989,16708
19168,b'D\xe9partementale',6.6,16000,16172
19169,b'D\xe9partementale',6.8,16000,16262
19171,b'D\xe9partementale',0.1,16002,16004
19172,b'D\xe9partementale',1.3,16002,16032
