id_noeud,lat,lon,id_station,lat_station,lon_station,distance_station,type_station,number_route,path1,path2
19887,605842.0,6632740.0,0,0,0,0,,3,23855,23873
19890,329598.0,6632668.0,0,0,0,0,,4,23608,23879
19894,774214.0,6632625.0,0,0,0,0,,3,23324,23913
19895,409259.0,6632606.0,0,0,0,0,,1,23915,0
19896,774103.0,6632596.0,0,0,0,0,,3,23842,23913
19898,841200.0,6632554.0,0,0,0,0,,4,23870,23897
19901,843226.0,6632499.0,0,0,0,0,,5,23871,23878
19907,773662.0,6632360.0,0,0,0,0,,3,23648,23916
19910,434758.0,6632246.0,0,0,0,0,,4,23480,23934
19913,963854.0,6632171.0,0,0,0,0,,1,23939,0
19919,895078.0,6632028.0,0,0,0,0,,4,23921,23922
19926,914675.0,6631770.0,0,0,0,0,,3,23884,23949
19927,732929.0,6631766.0,0,0,0,0,,3,23792,23953
19940,426026.0,6631189.0,0,0,0,0,,3,23724,23950
19941,958630.0,6631121.0,0,0,0,0,,3,23790,23965
19942,840578.0,6631066.0,0,0,0,0,,3,23919,23943
19943,922318.0,6630990.0,0,0,0,0,,3,23418,23958
19944,325008.0,6630927.0,0,0,0,0,,3,23712,23911
19946,426136.0,6630925.0,0,0,0,0,,3,23934,23972
19947,844464.0,6630918.0,0,0,0,0,,3,23923,23974
19948,922484.0,6630825.0,0,0,0,0,,3,23969,23976
19951,656650.0,6630791.0,0,0,0,0,,3,23567,23809
19952,810819.0,6630760.0,0,0,0,0,,3,23816,23928
19955,842758.0,6630737.0,0,0,0,0,,3,23924,23974
19956,721428.0,6630694.0,0,0,0,0,,4,23932,23955
19957,595994.0,6630680.0,0,0,0,0,,3,23866,23892
19959,773118.0,6630656.0,0,0,0,0,,3,23930,23988
19960,361622.0,6630608.0,0,0,0,0,,4,23605,23990
19962,389859.0,6630537.0,0,0,0,0,,3,23468,23994
19963,871209.0,6630494.0,0,0,0,0,,4,23778,23886
19965,840622.0,6630371.0,0,0,0,0,,4,23968,23984
19966,887495.0,6630320.0,0,0,0,0,,4,23519,23944
19971,886809.0,6630156.0,0,0,0,0,,3,23408,24001
19972,839651.0,6630114.0,0,0,0,0,,4,23795,23999
19974,409579.0,6630090.0,0,0,0,0,,1,23915,0
19975,831432.0,6630090.0,0,0,0,0,,4,23743,24008
19981,360235.0,6629966.0,0,0,0,0,,4,23770,23990
19984,391197.0,6629949.0,0,0,0,0,,4,23677,24021
19991,389768.0,6629828.0,0,0,0,0,,3,23994,24030
19993,390146.0,6629811.0,0,0,0,0,,4,23995,24021
19994,961009.0,6629786.0,0,0,0,0,,1,23967,0
19998,360774.0,6629651.0,0,0,0,0,,3,24017,24037
20005,923242.0,6629401.0,0,0,0,0,,3,23977,24015
20009,550907.0,6629253.0,0,0,0,0,,3,23715,24013
20011,361520.0,6629210.0,0,0,0,0,,3,23991,24037
20016,390441.0,6629073.0,0,0,0,0,,4,24022,24033
20017,363799.0,6629066.0,0,0,0,0,,4,23571,23992
20018,912478.0,6629006.0,0,0,0,0,,3,23952,24061
20019,912603.0,6628940.0,0,0,0,0,,3,23976,24063
20020,361617.0,6628879.0,0,0,0,0,,3,24051,24065
20022,529370.0,6628871.0,0,0,0,0,,3,23812,23850
20025,550536.0,6628834.0,0,0,0,0,,3,24049,24070
20029,361242.0,6628763.0,0,0,0,0,,3,24066,24074
20031,813934.0,6628710.0,0,0,0,0,,4,23592,24025
20035,637836.0,6628541.0,0,0,0,0,,3,23602,24081
20036,390626.0,6628497.0,0,0,0,0,,3,24058,24083
20037,703034.0,6628452.0,0,0,0,0,,3,23932,24046
20039,362393.0,6628428.0,0,0,0,0,,4,24065,24087
20040,636906.0,6628408.0,0,0,0,0,,3,23813,24012
20041,361353.0,6628372.0,0,0,0,0,,4,24075,24087
